Protein
sp|Q16658|FSCN1_HUMAN
sp|P02533|K1C14_HUMAN
sp|P36980|FHR2_HUMAN
sp|O75874|IDHC_HUMAN
sp|A0A0B4J1V0|HV315_HUMAN
sp|P48740|MASP1_HUMAN
sp|P40925|MDHC_HUMAN
sp|P01880|IGHD_HUMAN
sp|P08123|CO1A2_HUMAN
sp|P01034|CYTC_HUMAN
sp|P19652|A1AG2_HUMAN
sp|P08263|GSTA1_HUMAN
sp|P55058|PLTP_HUMAN
sp|P80748|LV321_HUMAN
sp|P0DP09|KV113_HUMAN
sp|P13647|K2C5_HUMAN
sp|Q6P179|ERAP2_HUMAN
sp|P08572|CO4A2_HUMAN
sp|Q5VTE0|EF1A3_HUMAN
sp|P02745|C1QA_HUMAN
sp|P02654|APOC1_HUMAN
sp|A0A0C4DH38|HV551_HUMAN
sp|P11226|MBL2_HUMAN
sp|O43866|CD5L_HUMAN
sp|P98066|TSG6_HUMAN
sp|P02462|CO4A1_HUMAN
sp|P08758|ANXA5_HUMAN
sp|Q6UXB8|PI16_HUMAN
sp|P01701|LV151_HUMAN
sp|P22891|PROZ_HUMAN
sp|Q12805|FBLN3_HUMAN
sp|P01594|KV133_HUMAN
sp|P00739|HPTR_HUMAN
sp|P05111|INHA_HUMAN
sp|P62937|PPIA_HUMAN
sp|P06312|KV401_HUMAN
sp|P05534|1A24_HUMAN
sp|P01703|LV140_HUMAN
sp|P04433|KV311_HUMAN
sp|A0A0C4DH68|KV224_HUMAN
sp|P01721|LV657_HUMAN
sp|P00338|LDHA_HUMAN
sp|P0C0L5|CO4B_HUMAN
sp|Q14515|SPRL1_HUMAN
sp|P02747|C1QC_HUMAN
sp|P05362|ICAM1_HUMAN
sp|Q6EMK4|VASN_HUMAN
sp|P01602|KV105_HUMAN
sp|A0A075B6S2|KVD29_HUMAN
sp|P0DOY3|IGLC3_HUMAN
sp|P14151|LYAM1_HUMAN
sp|A0A0C4DH31|HV118_HUMAN
sp|P49747|COMP_HUMAN
sp|Q92820|GGH_HUMAN
sp|Q15848|ADIPO_HUMAN
sp|P54108|CRIS3_HUMAN
sp|P14324|FPPS_HUMAN
sp|P08709|FA7_HUMAN
sp|P02656|APOC3_HUMAN
sp|P05090|APOD_HUMAN
sp|P02655|APOC2_HUMAN
sp|P01614|KVD40_HUMAN
sp|P08294|SODE_HUMAN
sp|P30041|PRDX6_HUMAN
sp|P35542|SAA4_HUMAN
sp|P07477|TRY1_HUMAN
sp|A0A0B4J1Y9|HV372_HUMAN
sp|P00918|CAH2_HUMAN
sp|P07339|CATD_HUMAN
sp|A0A0C4DH69|KV109_HUMAN
sp|P01767|HV353_HUMAN
sp|P01718|LV327_HUMAN
sp|A0A0A0MT36|KVD21_HUMAN
sp|P23528|COF1_HUMAN
sp|P23284|PPIB_HUMAN
sp|Q99497|PARK7_HUMAN
sp|P15151|PVR_HUMAN
sp|P07333|CSF1R_HUMAN
sp|P61626|LYSC_HUMAN
sp|P07359|GP1BA_HUMAN
sp|P02775|CXCL7_HUMAN
sp|P06702|S10A9_HUMAN
sp|P23470|PTPRG_HUMAN
sp|P01714|LV319_HUMAN
sp|P19883|FST_HUMAN
sp|Q9H8L6|MMRN2_HUMAN
sp|P15291|B4GT1_HUMAN
sp|P01344|IGF2_HUMAN
sp|P01704|LV214_HUMAN
sp|P31949|S10AB_HUMAN
sp|A0A0B4J1V6|HV373_HUMAN
sp|P01591|IGJ_HUMAN
sp|P01780|HV307_HUMAN
sp|O00187|MASP2_HUMAN
sp|P26572|MGAT1_HUMAN
sp|P00441|SODC_HUMAN
sp|Q13103|SPP24_HUMAN
sp|P02042|HBD_HUMAN
sp|P78539|SRPX_HUMAN
sp|P23083|HV102_HUMAN
sp|A0A0J9YX35|HV64D_HUMAN
sp|A0A087WSX0|LV545_HUMAN
sp|Q6YHK3|CD109_HUMAN
sp|Q9Y5Y7|LYVE1_HUMAN
sp|O43493|TGON2_HUMAN
sp|P06865|HEXA_HUMAN
sp|Q06323|PSME1_HUMAN
sp|P10599|THIO_HUMAN
sp|P24592|IBP6_HUMAN
sp|P01601|KVD16_HUMAN
sp|P01766|HV313_HUMAN
sp|P57053|H2BFS_HUMAN
sp|P02144|MYG_HUMAN
sp|Q03591|FHR1_HUMAN
sp|A0A0C4DH34|HV428_HUMAN
sp|A0A0B4J1Y8|LV949_HUMAN
sp|A0A0C4DH72|KV106_HUMAN
sp|A0A0C4DH29|HV103_HUMAN
sp|P16070|CD44_HUMAN
sp|P02545|LMNA_HUMAN
sp|A0A0J9YVY3|HV741_HUMAN
sp|P08779|K1C16_HUMAN
sp|Q9BWS9|CHID1_HUMAN
